Question,Type,Lookup,Function,Can be duplicated,Stand,Chapitre,Subchapitre,Paragraphe
Date de l'audit,Date,No,No,No,Page d'acceuil,,,
Nom du restaurant,Text,Yes - restaurants in other audits,No,No,Page d'acceuil,,,
Gestionnaire,Text,Yes - gestionnaires in other audits,No,No,Page d'acceuil,,,
Personne rencontrée - Prénom,Text,Yes - prénoms in other audits,No,Yes - ajouter personne,Page d'acceuil,,,
Personne rencontrée - Nom,Text,Yes - noms in other audits,No,Yes - ajouter personne,Page d'acceuil,,,
Personne rencontrée - Fonction,Text,Yes - fonctions in other audits,No,Yes - ajouter personne,Page d'acceuil,,,
Nombre de repas jour servis en moyenne,Integer,No,No,No,Page d'acceuil,,,
Nombre de places assises,Integer,No,,No,Page d'acceuil,,,
Taux de rotation global,Percentage,No,"nb repas servis / (nb places assises x 0,8)",No,Page d'acceuil,,,
Nombre de repas servis ce jour,Integer,No,,No,Page d'acceuil,,,
Taux de rotation du jour,Percentage,No,"nb repas servis / (nb places assises x 0,8)",No,Page d'acceuil,,,
Hoiraires du self début,Time,No,,No,Page d'acceuil,,,
Horaires du self fin,Time,No,,No,Page d'acceuil,,,
Date(s) de(s) l'audit(s) précédent(s),Date (default 11:30 to 14:00),Yes - other audits with this same nom du restaurant,,No,Page d'acceuil,,,
Affichage des horaires d’ouverture du restaurant,3 choice Yes/No/Partial,No,No,No,Les affichages,Informations générales,,
Informations sur les plats / menus,3 choice Yes/No/Partial,No,No,No,Les affichages,Informations générales,,
Informations sur les créneaux horaires à éviter,3 choice Yes/No/Partial,No,No,No,Les affichages,Informations générales,,
Etat des vitres,3 choice Yes/No/Partial,No,No,No,Zone d'accès au self,Les locaux,,
Propreté des vitres,3 choice Yes/No/Partial,No,No,No,Zone d'accès au self,Les locaux,,
Etat des murs,3 choice Yes/No/Partial,No,No,No,Zone d'accès au self,Les locaux,,
Propreté des murs,3 choice Yes/No/Partial,No,No,No,Zone d'accès au self,Les locaux,,
Etat des sols,3 choice Yes/No/Partial,No,No,No,Zone d'accès au self,Les locaux,,
Propreté des sols,3 choice Yes/No/Partial,No,No,No,Zone d'accès au self,Les locaux,,
Etat des plafonds,3 choice Yes/No/Partial,No,No,No,Zone d'accès au self,Les locaux,,
Propreté des plafonds,3 choice Yes/No/Partial,No,No,No,Zone d'accès au self,Les locaux,,
Etat des murs ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les locaux,,
Propreté des murs JML,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les locaux,,
Etat des sols,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les locaux,,
Propreté des sols,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les locaux,,
Etat des plafonds,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les locaux,,
Propreté des plafonds,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les locaux,,
Disponibilité,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les plateaux,,
Etat,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les plateaux,,
Propreté,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les plateaux,,
Accessibilité pour le réapprovisionnement Facile Difficile,2 options - Facile ou Difficile,No,No,No,Zone de distribution,Les plateaux,,
Disponibilité des fourchettes,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les couverts,,
Etat des fourchettes,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les couverts,,
Propreté fourchettes,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les couverts,,
Traces de calcaire sur les fourchettes,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les couverts,,
Disponibilité des couteaux,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les couverts,,
Etat des couteaux,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les couverts,,
Propreté couteaux,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les couverts,,
Traces de calcaire sur les couteaux,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les couverts,,
Disponibilité des petites cuillères,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les couverts,,
Etat des petites cuillères,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les couverts,,
Propreté petites cuillères,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les couverts,,
Traces de calcaire sur les petites cuillères,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les couverts,,
Disponibilité,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les verres,,
Etat,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les verres,,
Propreté,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les verres,,
Traces de calcaire sur les verres,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les verres,,
Netteté des verres,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les verres,,
Disponibilité des informations sur les allergènes,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les affichages,,
Visibilité des informations,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les affichages,,
Information produit,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les affichages,,
Prix des produits,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les affichages,,
Accord assiette / produits servis,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations chaudes),,
Etat des assiettes,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations chaudes),,
Propreté des assiettes,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations chaudes),,
Présence de chauffe-assiettes,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations chaudes),,
Etat des chauffe-assiettes,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations chaudes),,
Propreté des chauffe-assiettes,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations chaudes),,
Bonne utilisation des chauffe-assiettes,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations chaudes),,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,,,,Zone de distribution,Les contenants (prestations chaudes),,
Etat des saladiers de service ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Uniformité de la vaisselle utilisée ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Disponibilité des ramequins/raviers,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Etat des ramequins/raviers,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Propreté des ramequins/raviers,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Disponibilité des petites assiettes,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Etat des petites assiettes,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Propreté des petites assiettes,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Disponibilité des coupelles,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Etat des coupelles,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Propreté des coupelles,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Disponibilité des bols,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Etat des bols,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Propreté des bols,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Disponibilité des bowls,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Etat des bowls,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Propreté des bowls,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Accessibilité pour le réapprovisionnement,2 options - Facile ou Difficile,No,No,No,Zone de distribution,Les contenants (prestations froides),,
Etat des ustensiles ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les ustensiles de service,,
Propreté des ustensiles ,3 choice Yes/No/Partial,No,No,No,Zone de distribution,Les ustensiles de service,,
